index,courseId,lessonId,type,content
0-0-0,getting-started-with-the-academy,texts/550018-welcome-to-the-academy,text,0-0-0-550018-welcome-to-the-academy.html
0-0-1,getting-started-with-the-academy,lessons/1601272-how-to-work-the-play-it-say-it-method,video,https://fast.wistia.net/embed/iframe/cym76tn3mu
0-0-2,getting-started-with-the-academy,lessons/9228154-how-to-use-the-academy,video,https://fast.wistia.net/embed/iframe/wn75hq7ouo
0-0-3,getting-started-with-the-academy,lessons/9181999-musical-language,video,https://fast.wistia.net/embed/iframe/e9kzm5ahka
0-0-4,getting-started-with-the-academy,texts/553478-vocabulary-terms-to-know,text,0-0-4-553478-vocabulary-terms-to-know.html
0-0-5,getting-started-with-the-academy,lessons/2282696-are-you-ready-to-change,video,https://fast.wistia.net/embed/iframe/7dxnhi7kaq
0-1-0,getting-started-with-the-academy,texts/3135340-technical-issues,text,0-1-0-3135340-technical-issues.html
0-1-1,getting-started-with-the-academy,texts/45088588-completion-certificates,text,0-1-1-45088588-completion-certificates.html
0-1-2,getting-started-with-the-academy,texts/4325894-final-tips-and-tricks,text,0-1-2-4325894-final-tips-and-tricks.html
0-2-0,getting-started-with-the-academy,texts/44234449-recommendations-on-what-to-practice-first,text,0-2-0-44234449-recommendations-on-what-to-practice-first.html
1-0-0,pronunciation-basics,texts/484880-introduction,text,1-0-0-484880-introduction.html
1-0-1,pronunciation-basics,lessons/553964-video-singing-phrases,video,https://fast.wistia.net/embed/iframe/pa8f8sq1i4
1-0-2,pronunciation-basics,texts/24526681-audio-singing-phrases-soundboard,text,1-0-2-24526681-audio-singing-phrases-soundboard.html
1-0-3,pronunciation-basics,audio/514050-listen-repeat-singing-phrases,text,1-0-3-514050-listen-repeat-singing-phrases.html
1-0-4,pronunciation-basics,lessons/553912-video-placement-connection,video,https://fast.wistia.net/embed/iframe/kw8toankui
1-0-5,pronunciation-basics,lessons/9185179-video-placement-tips,video,https://fast.wistia.net/embed/iframe/spdzwo5747
1-1-0,pronunciation-basics,lessons/553946-video-imitation-of-non-speech-sounds,video,https://fast.wistia.net/embed/iframe/fvnjwer9lv
1-1-1,pronunciation-basics,audio/485288-audio-imitating-vocal-sounds,text,1-1-1-485288-audio-imitating-vocal-sounds.html
1-1-2,pronunciation-basics,lessons/9230142-video-imitating-other-languages,video,https://fast.wistia.net/embed/iframe/7rh2dtb7vl
1-1-3,pronunciation-basics,texts/514076-audio-imitating-other-languages,text,1-1-3-514076-audio-imitating-other-languages.html
1-1-4,pronunciation-basics,lessons/557763-video-how-to-work,video,https://fast.wistia.net/embed/iframe/bdd8bhymh3
1-2-0,pronunciation-basics,lessons/553908-video-relaxation-introduction,video,https://fast.wistia.net/embed/iframe/ch4ih34pb2
